ccode,name,currency,region,income
ABW,Aruba,Aruban florin,Latin America & Caribbean,High income
AFG,Afghanistan,Afghan afghani,South Asia,Low income
AGO,Angola,Angolan kwanza,Sub-Saharan Africa,Lower middle income
ALB,Albania,Albanian lek,Europe & Central Asia,Upper middle income
AND,Andorra,Euro,Europe & Central Asia,High income
ARE,United Arab Emirates,U.A.E. dirham,Middle East & North Africa,High income
ARG,Argentina,Argentine peso,Latin America & Caribbean,Upper middle income
ARM,Armenia,Armenian dram,Europe & Central Asia,Upper middle income
ASM,American Samoa,U.S. dollar,East Asia & Pacific,Upper middle income
ATG,Antigua and Barbuda,East Caribbean dollar,Latin America & Caribbean,High income
AUS,Australia,Australian dollar,East Asia & Pacific,High income
AUT,Austria,Euro,Europe & Central Asia,High income
AZE,Azerbaijan,New Azeri manat,Europe & Central Asia,Upper middle income
BDI,Burundi,Burundi franc,Sub-Saharan Africa,Low income
BEL,Belgium,Euro,Europe & Central Asia,High income
BEN,Benin,West African CFA franc,Sub-Saharan Africa,Low income
BFA,Burkina Faso,West African CFA franc,Sub-Saharan Africa,Low income
BGD,Bangladesh,Bangladeshi taka,South Asia,Lower middle income
BGR,Bulgaria,Bulgarian lev,Europe & Central Asia,Upper middle income
BHR,Bahrain,Bahraini dinar,Middle East & North Africa,High income
BHS,The Bahamas,Bahamian dollar,Latin America & Caribbean,High income
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark,Europe & Central Asia,Upper middle income
BLR,Belarus,Belarusian rubel,Europe & Central Asia,Upper middle income
BLZ,Belize,Belize dollar,Latin America & Caribbean,Upper middle income
BMU,Bermuda,Bermuda dollar,North America,High income
BOL,Bolivia,Bolivian Boliviano,Latin America & Caribbean,Lower middle income
BRA,Brazil,Brazilian real,Latin America & Caribbean,Upper middle income
BRB,Barbados,Barbados dollar,Latin America & Caribbean,High income
BRN,Brunei,Brunei dollar,East Asia & Pacific,High income
BTN,Bhutan,Bhutanese ngultrum,South Asia,Lower middle income
BWA,Botswana,Botswana pula,Sub-Saharan Africa,Upper middle income
CAF,Central African Republic,Central African CFA franc,Sub-Saharan Africa,Low income
CAN,Canada,Canadian dollar,North America,High income
CHE,Switzerland,Swiss franc,Europe & Central Asia,High income
CHI,Channel Islands,Pound sterling,Europe & Central Asia,High income
CHL,Chile,Chilean peso,Latin America & Caribbean,High income
CHN,China,Chinese yuan,East Asia & Pacific,Upper middle income
CIV,Côte d'Ivoire,West African CFA franc,Sub-Saharan Africa,Lower middle income
CMR,Cameroon,Central African CFA franc,Sub-Saharan Africa,Lower middle income
COD,Dem. Rep. Congo,Congolese franc,Sub-Saharan Africa,Low income
COG,Congo,Central African CFA franc,Sub-Saharan Africa,Lower middle income
COL,Colombia,Colombian peso,Latin America & Caribbean,Upper middle income
COM,Comoros,Comorian franc,Sub-Saharan Africa,Lower middle income
CPV,Cabo Verde,Cabo Verde escudo,Sub-Saharan Africa,Lower middle income
CRI,Costa Rica,Costa Rican colon,Latin America & Caribbean,Upper middle income
CUB,Cuba,Cuban peso,Latin America & Caribbean,Upper middle income
CUW,Curaçao,Netherlands Antillean guilder,Latin America & Caribbean,High income
CYM,Cayman Islands,Cayman Islands dollar,Latin America & Caribbean,High income
CYP,Cyprus,Euro,Europe & Central Asia,High income
CZE,Czech Republic,Czech koruna,Europe & Central Asia,High income
DEU,Germany,Euro,Europe & Central Asia,High income
DJI,Djibouti,Djibouti franc,Middle East & North Africa,Lower middle income
DMA,Dominica,East Caribbean dollar,Latin America & Caribbean,Upper middle income
DNK,Denmark,Danish krone,Europe & Central Asia,High income
DOM,Dominican Republic,Dominican peso,Latin America & Caribbean,Upper middle income
DZA,Algeria,Algerian dinar,Middle East & North Africa,Upper middle income
ECU,Ecuador,U.S. dollar,Latin America & Caribbean,Upper middle income
EGY,Egypt,Egyptian pound,Middle East & North Africa,Lower middle income
ERI,Eritrea,Eritrean nakfa,Sub-Saharan Africa,Low income
ESP,Spain,Euro,Europe & Central Asia,High income
EST,Estonia,Euro,Europe & Central Asia,High income
ETH,Ethiopia,Ethiopian birr,Sub-Saharan Africa,Low income
FIN,Finland,Euro,Europe & Central Asia,High income
FJI,Fiji,Fijian dollar,East Asia & Pacific,Upper middle income
FRA,France,Euro,Europe & Central Asia,High income
FRO,Faroe Islands,Danish krone,Europe & Central Asia,High income
FSM,Micronesia,U.S. dollar,East Asia & Pacific,Lower middle income
GAB,Gabon,Central African CFA franc,Sub-Saharan Africa,Upper middle income
GBR,United Kingdom,Pound sterling,Europe & Central Asia,High income
GEO,Georgia,Georgian lari,Europe & Central Asia,Upper middle income
GHA,Ghana,New Ghanaian cedi,Sub-Saharan Africa,Lower middle income
GIB,Gibraltar,Gibraltar pound,Europe & Central Asia,High income
GIN,Guinea,Guinean franc,Sub-Saharan Africa,Low income
GMB,The Gambia,Gambian dalasi,Sub-Saharan Africa,Low income
GNB,Guinea-Bissau,West African CFA franc,Sub-Saharan Africa,Low income
GNQ,Equatorial Guinea,Central African CFA franc,Sub-Saharan Africa,Upper middle income
GRC,Greece,Euro,Europe & Central Asia,High income
GRD,Grenada,East Caribbean dollar,Latin America & Caribbean,Upper middle income
GRL,Greenland,Danish krone,Europe & Central Asia,High income
GTM,Guatemala,Guatemalan quetzal,Latin America & Caribbean,Upper middle income
GUM,Guam,U.S. dollar,East Asia & Pacific,High income
GUY,Guyana,Guyana dollar,Latin America & Caribbean,Upper middle income
HKG,"Hong Kong SAR, China",Hong Kong dollar,East Asia & Pacific,High income
HND,Honduras,Honduran lempira,Latin America & Caribbean,Lower middle income
HRV,Croatia,Croatian kuna,Europe & Central Asia,High income
HTI,Haiti,Haitian gourde,Latin America & Caribbean,Low income
HUN,Hungary,Hungarian forint,Europe & Central Asia,High income
IDN,Indonesia,Indonesian rupiah,East Asia & Pacific,Lower middle income
IMN,Isle of Man,Pound sterling,Europe & Central Asia,High income
IND,India,Indian rupee,South Asia,Lower middle income
IRL,Ireland,Euro,Europe & Central Asia,High income
IRN,Iran,Iranian rial,Middle East & North Africa,Upper middle income
IRQ,Iraq,Iraqi dinar,Middle East & North Africa,Upper middle income
ISL,Iceland,Iceland krona,Europe & Central Asia,High income
ISR,Israel,Israeli new shekel,Middle East & North Africa,High income
ITA,Italy,Euro,Europe & Central Asia,High income
JAM,Jamaica,Jamaican dollar,Latin America & Caribbean,Upper middle income
JOR,Jordan,Jordanian dinar,Middle East & North Africa,Upper middle income
JPN,Japan,Japanese yen,East Asia & Pacific,High income
KAZ,Kazakhstan,Kazakh tenge,Europe & Central Asia,Upper middle income
KEN,Kenya,Kenyan shilling,Sub-Saharan Africa,Lower middle income
KGZ,Kyrgyz Republic,Kyrgyz som,Europe & Central Asia,Lower middle income
KHM,Cambodia,Cambodian riel,East Asia & Pacific,Lower middle income
KIR,Kiribati,Australian dollar,East Asia & Pacific,Lower middle income
KNA,St. Kitts and Nevis,East Caribbean dollar,Latin America & Caribbean,High income
KOR,Korea,Korean won,East Asia & Pacific,High income
KWT,Kuwait,Kuwaiti dinar,Middle East & North Africa,High income
LAO,Lao PDR,Lao kip,East Asia & Pacific,Lower middle income
LBN,Lebanon,Lebanese pound,Middle East & North Africa,Upper middle income
LBR,Liberia,U.S. dollar,Sub-Saharan Africa,Low income
LBY,Libya,Libyan dinar,Middle East & North Africa,Upper middle income
LCA,St. Lucia,East Caribbean dollar,Latin America & Caribbean,Upper middle income
LIE,Liechtenstein,Swiss franc,Europe & Central Asia,High income
LKA,Sri Lanka,Sri Lankan rupee,South Asia,Upper middle income
LSO,Lesotho,Lesotho loti,Sub-Saharan Africa,Lower middle income
LTU,Lithuania,Euro,Europe & Central Asia,High income
LUX,Luxembourg,Euro,Europe & Central Asia,High income
LVA,Latvia,Euro,Europe & Central Asia,High income
MAC,"Macao SAR, China",Macao pataca,East Asia & Pacific,High income
MAF,St. Martin (French part),Euro,Latin America & Caribbean,High income
MAR,Morocco,Moroccan dirham,Middle East & North Africa,Lower middle income
MCO,Monaco,Euro,Europe & Central Asia,High income
MDA,Moldova,Moldovan leu,Europe & Central Asia,Lower middle income
MDG,Madagascar,Malagasy ariary,Sub-Saharan Africa,Low income
MDV,Maldives,Maldivian rufiyaa,South Asia,Upper middle income
MEX,Mexico,Mexican peso,Latin America & Caribbean,Upper middle income
MHL,Marshall Islands,U.S. dollar,East Asia & Pacific,Upper middle income
MKD,North Macedonia,Macedonian denar,Europe & Central Asia,Upper middle income
MLI,Mali,West African CFA franc,Sub-Saharan Africa,Low income
MLT,Malta,Euro,Middle East & North Africa,High income
MMR,Myanmar,Myanmar kyat,East Asia & Pacific,Lower middle income
MNE,Montenegro,Euro,Europe & Central Asia,Upper middle income
MNG,Mongolia,Mongolian tugrik,East Asia & Pacific,Lower middle income
MNP,Northern Mariana Islands,U.S. dollar,East Asia & Pacific,High income
MOZ,Mozambique,New Mozambican metical,Sub-Saharan Africa,Low income
MRT,Mauritania,Mauritanian ouguiya,Sub-Saharan Africa,Lower middle income
MUS,Mauritius,Mauritian rupee,Sub-Saharan Africa,Upper middle income
MWI,Malawi,Malawi kwacha,Sub-Saharan Africa,Low income
MYS,Malaysia,Malaysian ringgit,East Asia & Pacific,Upper middle income
NAM,Namibia,Namibian dollar,Sub-Saharan Africa,Upper middle income
NCL,New Caledonia,CFP franc,East Asia & Pacific,High income
NER,Niger,West African CFA franc,Sub-Saharan Africa,Low income
NGA,Nigeria,Nigerian naira,Sub-Saharan Africa,Lower middle income
NIC,Nicaragua,Nicaraguan gold cordoba,Latin America & Caribbean,Lower middle income
NLD,Netherlands,Euro,Europe & Central Asia,High income
NOR,Norway,Norwegian krone,Europe & Central Asia,High income
NPL,Nepal,Nepalese rupee,South Asia,Low income
NRU,Nauru,Australian dollar,East Asia & Pacific,Upper middle income
NZL,New Zealand,New Zealand dollar,East Asia & Pacific,High income
OMN,Oman,Rial Omani,Middle East & North Africa,High income
PAK,Pakistan,Pakistani rupee,South Asia,Lower middle income
PAN,Panama,Panamanian balboa,Latin America & Caribbean,High income
PER,Peru,Peruvian new sol,Latin America & Caribbean,Upper middle income
PHL,Philippines,Philippine peso,East Asia & Pacific,Lower middle income
PLW,Palau,U.S. dollar,East Asia & Pacific,High income
PNG,Papua New Guinea,Papua New Guinea kina,East Asia & Pacific,Lower middle income
POL,Poland,Polish zloty,Europe & Central Asia,High income
PRI,Puerto Rico,U.S. dollar,Latin America & Caribbean,High income
PRK,Dem. People's Rep. Korea,Democratic People's Republic of Korean won,East Asia & Pacific,Low income
PRT,Portugal,Euro,Europe & Central Asia,High income
PRY,Paraguay,Paraguayan guarani,Latin America & Caribbean,Upper middle income
PSE,West Bank and Gaza,Israeli new shekel,Middle East & North Africa,Lower middle income
PYF,French Polynesia,CFP franc,East Asia & Pacific,High income
QAT,Qatar,Qatari riyal,Middle East & North Africa,High income
ROU,Romania,New Romanian leu,Europe & Central Asia,Upper middle income
RUS,Russia,Russian ruble,Europe & Central Asia,Upper middle income
RWA,Rwanda,Rwandan franc,Sub-Saharan Africa,Low income
SAU,Saudi Arabia,Saudi Arabian riyal,Middle East & North Africa,High income
SDN,Sudan,Sudanese pound,Sub-Saharan Africa,Lower middle income
SEN,Senegal,West African CFA franc,Sub-Saharan Africa,Lower middle income
SGP,Singapore,Singapore dollar,East Asia & Pacific,High income
SLB,Solomon Islands,Solomon Islands dollar,East Asia & Pacific,Lower middle income
SLE,Sierra Leone,Sierra Leonean leone,Sub-Saharan Africa,Low income
SLV,El Salvador,U.S. dollar,Latin America & Caribbean,Lower middle income
SMR,San Marino,Euro,Europe & Central Asia,High income
SOM,Somalia,Somali shilling,Sub-Saharan Africa,Low income
SRB,Serbia,New Serbian dinar,Europe & Central Asia,Upper middle income
SSD,South Sudan,South Sudanese Pound,Sub-Saharan Africa,Low income
STP,São Tomé and Principe,São Tomé and Principe dobra,Sub-Saharan Africa,Lower middle income
SUR,Suriname,Suriname dollar,Latin America & Caribbean,Upper middle income
SVK,Slovak Republic,Euro,Europe & Central Asia,High income
SVN,Slovenia,Euro,Europe & Central Asia,High income
SWE,Sweden,Swedish krona,Europe & Central Asia,High income
SWZ,Eswatini,Swazi lilangeni,Sub-Saharan Africa,Lower middle income
SXM,Sint Maarten (Dutch part),Netherlands Antillean guilder,Latin America & Caribbean,High income
SYC,Seychelles,Seychelles rupee,Sub-Saharan Africa,High income
SYR,Syrian Arab Republic,Syrian pound,Middle East & North Africa,Low income
TCA,Turks and Caicos Islands,U.S. dollar,Latin America & Caribbean,High income
TCD,Chad,Central African CFA franc,Sub-Saharan Africa,Low income
TGO,Togo,West African CFA franc,Sub-Saharan Africa,Low income
THA,Thailand,Thai baht,East Asia & Pacific,Upper middle income
TJK,Tajikistan,Tajik somoni,Europe & Central Asia,Low income
TKM,Turkmenistan,New Turkmen manat,Europe & Central Asia,Upper middle income
TLS,Timor-Leste,U.S. dollar,East Asia & Pacific,Lower middle income
TON,Tonga,Tongan pa'anga,East Asia & Pacific,Upper middle income
TTO,Trinidad and Tobago,Trinidad and Tobago dollar,Latin America & Caribbean,High income
TUN,Tunisia,Tunisian dinar,Middle East & North Africa,Lower middle income
TUR,Turkey,New Turkish lira,Europe & Central Asia,Upper middle income
TUV,Tuvalu,Australian dollar,East Asia & Pacific,Upper middle income
TZA,Tanzania,Tanzanian shilling,Sub-Saharan Africa,Low income
UGA,Uganda,Ugandan shilling,Sub-Saharan Africa,Low income
UKR,Ukraine,Ukrainian hryvnia,Europe & Central Asia,Lower middle income
URY,Uruguay,Uruguayan peso,Latin America & Caribbean,High income
USA,United States,U.S. dollar,North America,High income
UZB,Uzbekistan,Uzbek sum,Europe & Central Asia,Lower middle income
VCT,St. Vincent and the Grenadines,East Caribbean dollar,Latin America & Caribbean,Upper middle income
VEN,Venezuela,Venezuelan bolivar fuerte,Latin America & Caribbean,Upper middle income
VGB,British Virgin Islands,U.S. dollar,Latin America & Caribbean,High income
VIR,Virgin Islands,U.S. dollar,Latin America & Caribbean,High income
VNM,Vietnam,Vietnamese dong,East Asia & Pacific,Lower middle income
VUT,Vanuatu,Vanuatu vatu,East Asia & Pacific,Lower middle income
WSM,Samoa,Samoan tala,East Asia & Pacific,Upper middle income
XKX,Kosovo,Euro,Europe & Central Asia,Upper middle income
YEM,Yemen,Yemeni rial,Middle East & North Africa,Low income
ZAF,South Africa,South African rand,Sub-Saharan Africa,Upper middle income
ZMB,Zambia,New Zambian kwacha,Sub-Saharan Africa,Lower middle income
ZWE,Zimbabwe,U.S. dollar,Sub-Saharan Africa,Lower middle income
